id-datalake,nct_id,brief_title,official_title,phase,recruitment_status,start_date,completion_date,primary_completion_date,enrollment,enrollment_type,indications,interventions_drugs,drugs_datalake,main_technologies,specific_technologies,target_names,target_abbreviations,start_year,duration,success
61690,NCT06669572,Lenvatinib and Pembrolizumab to Treat Patients With Anal or Rectum Cancer That Has Gotten Worse After Initial Treatment,"A Phase II, Multi-center, Single Arm Trial of Lenvatinib Plus Pembrolizumab in Patients With Unresectable Locally Advanced and/or Metastatic Anorectal Squamous Cell Carcinoma (ASCC) After Progression on First Line Chemotherapy.",2,not_yet_recruiting,2026-01-13,2029-03-26,2029-03-26,35.0,ESTIMATED,"['Anorectal Cancer', 'Epithelial Neoplasm']","['Pembrolizumab', 'Lenvatinib']","['B936', 'B261']","[['Antibody'], ['Small Molecule']]","[['Monoclonal Antibody'], ['Small Molecule']]","[['Programmed cell death protein 1'], ['Fibroblast growth factor receptor 1', 'Fibroblast growth factor receptor 2', 'Fibroblast growth factor receptor 3', 'Fibroblast growth factor receptor 4', 'Platelet-derived growth factor receptor alpha', 'Stem cell growth factor receptor', 'Tyrosine-protein kinase receptor RET', 'Vascular endothelial growth factor receptor 1', 'Vascular endothelial growth factor receptor 2', 'Vascular endothelial growth factor receptor 3']]","[['PD-1'], ['FGFR1', 'FGFR2', 'FGFR3', 'FGFR4', 'PDGFRÎ±', 'c-Kit', 'RET', 'VEGFR1', 'VEGFR2', 'VEGFR3']]",2026.0,1168.0,0
63117,NCT06883552,"An Open-label, Single-arm Clinical Study of Stapokibart Injection in Combination with Tislelizumab Injection in Patients with Non-Small Cell Lung Cancer","An Open-label, Single-arm Clinical Study of Stapokibart Injection in Combination with Tislelizumab Injection in Patients with Non-Small Cell Lung Cancer",2,not_yet_recruiting,2025-10-01,2026-10-01,2026-10-01,21.0,ESTIMATED,['Thoracic Neoplasm'],['Tislelizumab'],['B1344'],[['Antibody']],[['Monoclonal Antibody']],[['Programmed cell death protein 1']],[['PD-1']],2025.0,365.0,0
56177,NCT06366490,Safety and Immunogenicity of Innocell Autologous Cellular Immunotherapy in Recurrent Epithelial Ovarian Cancer,Phase 1 Study to Assess the Safety and Immunogenicity of Innocell Autologous Cellular Immunotherapy Administered in Patients with Recurrent Epithelial Ovarian Cancer,1,not_yet_recruiting,2025-06-30,2026-06-30,2025-12-30,8.0,ESTIMATED,['Ovarian Cancer'],['Innocell'],['B11796'],[['Cancer Vaccine']],[['Whole Tumor Cell Vaccine']],[[]],[[]],2025.0,365.0,0
62820,NCT06835387,Study of NALIRIFOX in Advanced Unresectable Small Bowel Tumors,Phase II Study of NALIRIFOX (Nanoliposomal Irinotecan + Oxaliplatin With Fluorouracil and Folinic Acid) in Advanced Unresectable Small Bowel Tumors,2,recruiting,2025-05-31,2028-08-31,2027-08-31,36.0,ESTIMATED,['Small Intestinal Adenocarcinoma'],"['Irinotecan Sucrosofate', 'Dexamethasone', '5-HT3 Receptor Antagonist', 'Oxaliplatin', 'Fluorouracil', 'Folinic acid']","['B1128', 'B1229', 'B493', 'B226']","[['Small Molecule'], ['Small Molecule'], ['Small Molecule'], []]","[['Small Molecule'], ['Small Molecule'], ['Small Molecule'], []]","[['Glucocorticoid receptor'], ['DNA'], ['Thymidylate synthase'], []]","[['GR'], ['DNA'], ['TYMS'], []]",2025.0,1188.0,0
63206,NCT06896188,"9-ING-41 Combined with Retifanlimab, Plus Modified FOLFIRINOX for Patients with Advanced Pancreatic Adenocarcinoma (RiLEY)","A Phase Ib Study of 9-ING-41 (elraglusib), a Glycogen Synthase Kinase 3-beta (GSK-3Î²) Inhibitor, Combined with Retifanlimab, a PD-1 Inhibitor, Plus Modified FOLFIRINOX As Frontline Therapy for Patients with Advanced Pancreatic Adenocarcinoma (RiLEY)",1,not_yet_recruiting,2025-05-31,2028-12-31,2027-05-31,12.0,ESTIMATED,['Pancreatic Cancer'],"['Retifanlimab', 'Oxaliplatin', 'Folinic acid', 'Irinotecan', 'Fluorouracil', 'Elraglusib']","['B1394', 'B1229', 'B226', 'B1679', 'B493', 'B1684']","[['Antibody'], ['Small Molecule'], [], ['Small Molecule'], ['Small Molecule'], ['Small Molecule']]","[['Monoclonal Antibody'], ['Small Molecule'], [], ['Small Molecule'], ['Small Molecule'], ['Small Molecule']]","[['Programmed cell death protein 1'], ['DNA'], [], ['DNA topoisomerase I'], ['Thymidylate synthase'], ['Glycogen synthase kinase-3 beta']]","[['PD-1'], ['DNA'], [], ['TOP1'], ['TYMS'], ['GSK-3Î²']]",2025.0,1310.0,0
62724,NCT06822972,HCMT/MM2401: Ph2 Study of Selinexor + Bispecific Antibody for RRMM,A Phase II Safety and Efficacy Study of Selinexor in Combination With Bispecific Antibody in Patients With Relapsed/Refractory Multiple Myeloma,2,not_yet_recruiting,2025-05-01,2027-12-31,2026-04-30,27.0,ESTIMATED,"['Multiple Myeloma', 'Multiple Myeloma']",['Selinexor'],['B1030'],[['Small Molecule']],[['Small Molecule']],[['Exportin-1 protein']],[['XPO1']],2025.0,974.0,0
63277,NCT06906562,A Phase II Telemedicine Study of Pemigatinib in Adult Patients With Advanced or Metastatic Pancreas Cancer With FGFR Genetic Alterations,A Phase II Telemedicine Study of Pemigatinib in Adult Patients With Advanced or Metastatic Pancreas Cancer With FGFR2 Gene Fusions or Other FGFR Genetic Alterations,2,not_yet_recruiting,2025-05-01,2026-12-31,2026-12-31,40.0,ESTIMATED,"['Pancreatic Cancer', 'FGFR Mutation', 'Renal Cell Carcinoma', 'FGFR2 Gene Translocation', 'Pancreatic Cancer', 'Epithelial Neoplasm']","['Pemigatinib', 'Computed Tomography Colonography', 'Magnetic Resonance Imaging']",['B1274'],[['Small Molecule']],[['Small Molecule']],"[['Fibroblast growth factor receptor 1', 'Fibroblast growth factor receptor 2', 'Fibroblast growth factor receptor 3']]","[['FGFR1', 'FGFR2', 'FGFR3']]",2025.0,609.0,0
55910,NCT06328036,Testing the Combination of Anti-cancer Drugs Tiragolumab and Atezolizumab to Improve Outcomes for Patients With Recurrent Glioblastoma,Phase 2 and Biomarker Trial of Anti-TIGIT and Anti-PDL1 in Patients With Recurrent Glioblastoma,2,withdrawn,2025-04-30,2025-07-01,2025-07-01,0.0,ACTUAL,['Glioblastoma'],"['Atezolizumab', 'Biospecimen Collection', 'Magnetic Resonance Imaging', 'Surgical Procedure', 'Tiragolumab']","['B1084', 'B1397']","[['Antibody'], ['Antibody']]","[['Monoclonal Antibody'], ['Monoclonal Antibody']]","[['Programmed death-ligand 1'], ['T cell immunoglobulin and ITIM domains']]","[['PDL1'], ['TIGIT']]",2025.0,62.0,0
54225,NCT06066138,A Study of Therapeutic Drug Monitoring-Based Atezolizumab Dosing,A Feasibility Multicenter Phase I Study of Therapeutic Drug Monitoring-Based Atezolizumab Dosing,1,recruiting,2025-04-10,2027-01-31,2026-01-31,40.0,ESTIMATED,"['Soft Tissue Sarcoma', 'Soft Tissue Sarcoma', 'Non-Small Cell Lung Cancer', 'Epithelial Neoplasm', 'Neuroendocrine Carcinoma', 'Epithelial Neoplasm', 'Hepatocellular Carcinoma', 'Hepatocellular Carcinoma', 'Skin Melanoma', 'Metastatic Melanoma']",['Atezolizumab'],['B1084'],[['Antibody']],[['Monoclonal Antibody']],[['Programmed death-ligand 1']],[['PDL1']],2025.0,661.0,0
63290,NCT06908031,SCRT + mFOLFOX6 + PD-1 Antibody + Targeted Therapy for HIgh-Risk pMMR/MSS Rectal Cancer,"Short-Course Radiotherapy Combined With mFOLFOX6, PD-1 Antibody and Cetuximab (for RAS/BRAF Wild-Type)/Bevacizumab (for RAS/BRAF Mutant) in High-Risk pMMR/MSS Rectal Adenocarcinoma: a Prospective, Multicenter Phase II Study",3,recruiting,2025-04-02,2027-04-01,2027-04-01,49.0,ESTIMATED,"['Osteosarcoma', 'MSS', 'Rectal Carcinoma']","['Radiation Therapy', 'Iparomlimab', 'mFOLFOX6', 'Cetuximab', 'Bevacizumab', 'Resection']","['B4868', 'B164', 'B167']","[['Antibody'], ['Antibody'], ['Antibody']]","[['Monoclonal Antibody'], ['Monoclonal Antibody'], ['Monoclonal Antibody']]","[['Programmed cell death protein 1'], ['Epidermal growth factor receptor erbB1'], ['Vascular endothelial growth factor A']]","[['PD-1'], ['EGFR'], ['VEGF-A']]",2025.0,729.0,0
